2026-07-21 19:30:37.612 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 19:30:37.641 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 11548 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 19:30:37.642 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 19:30:38.207 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 19:30:38.212 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 19:30:38.269 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2026-07-21 19:30:38.880 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 19:30:38.886 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 19:30:38.888 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 19:30:38.888 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 19:30:38.939 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 19:30:38.940 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1266 ms
2026-07-21 19:30:39.979 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 19:30:39.993 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 19:30:40.001 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.733 seconds (process running for 3.25)
2026-07-21 19:30:57.859 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-21 19:30:57.860 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
2026-07-21 19:30:57.861 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Completed initialization in 1 ms
2026-07-21 19:30:57.953 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - ===== 请求开始 =====
2026-07-21 19:30:57.953 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - 请求路径: POST /yq-admin/users
2026-07-21 19:30:57.954 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - 请求方法: com.yanque.modules.users.controller.SysUserController.login
2026-07-21 19:30:57.956 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - 请求参数: [LoginReq(username=admin111, password=123456)]
2026-07-21 19:30:57.979 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [f5044e73885048778d8118d9e4f8dcb6] - HikariPool-1 - Starting...
2026-07-21 19:30:58.121 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool [f5044e73885048778d8118d9e4f8dcb6] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3c8bdf86
2026-07-21 19:30:58.123 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [f5044e73885048778d8118d9e4f8dcb6] - HikariPool-1 - Start completed.
2026-07-21 19:30:58.973 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - 响应结果: ApiResponse(code=200, message=操作成功, data=LoginRes(token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1aWQiOjM5LCJleHBpcmVfdGltZSI6MTc4NDcxOTg1ODE1NiwianRpIjoiMjlkNDBlMWU0OGJkNGU5ZWI4MTYzYWI3M2FkZmIzOGUifQ.43kbU8Z_8TQZ5HhQBI-12jZQRIo1eRUqfm1BvuucpoY, signSecret=iEzWZx2ubeJoLR7-cgAHZ__JipAdVGGRSucK9gLjHN8))
2026-07-21 19:30:58.973 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [f5044e73885048778d8118d9e4f8dcb6] - ===== 请求结束 =====
2026-07-21 20:12:34.421 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown initiated...
2026-07-21 20:12:34.425 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown completed.
