2026-07-21 19:29:34.161 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 19:29:34.191 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 34908 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 19:29:34.192 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 19:29:34.751 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 19:29:34.753 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 19:29:34.781 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2026-07-21 19:29:35.393 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 19:29:35.399 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 19:29:35.400 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 19:29:35.400 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 19:29:35.452 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 19:29:35.452 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1226 ms
2026-07-21 19:29:36.507 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 19:29:36.521 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 19:29:36.528 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.704 seconds (process running for 3.214)
2026-07-21 19:29:41.803 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-21 19:29:41.804 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
2026-07-21 19:29:41.805 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Completed initialization in 1 ms
2026-07-21 19:29:41.901 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - ===== 请求开始 =====
2026-07-21 19:29:41.901 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - 请求路径: POST /yq-admin/users
2026-07-21 19:29:41.902 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - 请求方法: com.yanque.modules.users.controller.SysUserController.login
2026-07-21 19:29:41.904 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - 请求参数: [LoginReq(username=admin111, password=123456)]
2026-07-21 19:29:41.921 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [2ee59ca3b3f34d6dbfc3239f7d704d4b] - HikariPool-1 - Starting...
2026-07-21 19:29:42.030 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool [2ee59ca3b3f34d6dbfc3239f7d704d4b] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4d80a92c
2026-07-21 19:29:42.031 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [2ee59ca3b3f34d6dbfc3239f7d704d4b] - HikariPool-1 - Start completed.
2026-07-21 19:29:42.930 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - 响应结果: ApiResponse(code=200, message=操作成功, data=LoginRes(token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1aWQiOjM5LCJleHBpcmVfdGltZSI6MTc4NDcxOTc4MjA2MywianRpIjoiYzYxOWE5YjM2NWVmNDhiNzhhMzMyNDBhYzE3MjM1YjkifQ.wDFIjKvlgmL-RO29hU1dr_FWXB0AiWukMFgjDfoMISw, signSecret=oMGTSoaVv546xsGy75f1MsV53Krl7_SnV6MoEx5gYWg))
2026-07-21 19:29:42.931 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [2ee59ca3b3f34d6dbfc3239f7d704d4b] - ===== 请求结束 =====
2026-07-21 19:30:33.048 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown initiated...
2026-07-21 19:30:33.053 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown completed.
