2026-07-21 19:13:23.778 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-07-21 19:13:23.810 [main] INFO  com.yanque.YqAdminApplication [] - Starting YqAdminApplication using Java 17 with PID 30868 (D:\Eight-project\YanQue\yq-admin\target\classes started by admin in D:\Eight-project\YanQue)
2026-07-21 19:13:23.811 [main] INFO  com.yanque.YqAdminApplication [] - The following 1 profile is active: "dev"
2026-07-21 19:13:24.369 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-21 19:13:24.371 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-21 19:13:24.400 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2026-07-21 19:13:25.011 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-07-21 19:13:25.016 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-21 19:13:25.017 [main] INFO  o.apache.catalina.core.StandardService [] - Starting service [Tomcat]
2026-07-21 19:13:25.017 [main] INFO  org.apache.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-07-21 19:13:25.068 [main] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring embedded WebApplicationContext
2026-07-21 19:13:25.068 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 1226 ms
2026-07-21 19:13:26.106 [main] INFO  o.apache.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-07-21 19:13:26.121 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/yq-admin'
2026-07-21 19:13:26.128 [main] INFO  com.yanque.YqAdminApplication [] - Started YqAdminApplication in 2.693 seconds (process running for 3.202)
2026-07-21 19:13:41.575 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/yq-admin] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-21 19:13:41.575 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
2026-07-21 19:13:41.576 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [] - Completed initialization in 1 ms
2026-07-21 19:13:41.673 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - ===== 请求开始 =====
2026-07-21 19:13:41.673 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - 请求路径: POST /yq-admin/users
2026-07-21 19:13:41.674 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - 请求方法: com.yanque.modules.users.controller.SysUserController.login
2026-07-21 19:13:41.676 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - 请求参数: [LoginReq(username=admin111, password=123456)]
2026-07-21 19:13:41.695 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [c5f3432fae604927b3e7b0acd2c02743] - HikariPool-1 - Starting...
2026-07-21 19:13:41.851 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool [c5f3432fae604927b3e7b0acd2c02743] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4d80a92c
2026-07-21 19:13:41.852 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource [c5f3432fae604927b3e7b0acd2c02743] - HikariPool-1 - Start completed.
2026-07-21 19:13:42.401 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - 响应结果: ApiResponse(code=200, message=操作成功, data=LoginRes(token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ5YW5xdWUtYWRtaW4iLCJzdWIiOiIzOSIsImlhdCI6MTc4NDYzMjQyMSwiZXhwIjoxNzg0NjM5NjIxLCJqdGkiOiJmMDJhM2Q5ZDU1NWI0NTJjYTY3ZTA4ZTc1M2ZjMDIzYSIsInVzZXJJZCI6MzksInVzZXJuYW1lIjoiYWRtaW4xMTEifQ.82NN9ZgeVHXYzb-TexnS-hHyfpgrJonTy1etjc_x_Mw, signSecret=e8bae89f27c04ca4b06feda7df538497))
2026-07-21 19:13:42.401 [http-nio-8080-exec-1] INFO  c.yanque.commons.config.RequestLogAspect [c5f3432fae604927b3e7b0acd2c02743] - ===== 请求结束 =====
2026-07-21 19:16:49.591 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown initiated...
2026-07-21 19:16:49.597 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Shutdown completed.
